단축코드,표준코드,한글명,상장일자
000080,KR7000080002,하이트진로,20091019
000100,KR7000100008,유한양행,19621101
000120,KR7000120006,CJ대한통운,19560702
000150,KR7000150003,두산,19730629
000210,KR7000210005,DL,19760202
000240,KR7000240002,한국앤컴퍼니,19681227
000270,KR7000270009,기아,19730721
000370,KR7000370007,한화손해보험,19750630
000390,KR7000390005,삼화페인트,19930910
000490,KR7000490003,대동,19750627
000500,KR7000500009,가온전선,19870608
000520,KR7000520007,삼일제약,19850529
000640,KR7000640003,동아쏘시오홀딩스,19700210
000660,KR7000660001,SK하이닉스,19961226
000670,KR7000670000,영풍,19760612
000720,KR7000720003,현대건설,19841222
000810,KR7000810002,삼성화재,19750630
000880,KR7000880005,한화,19760624
000990,KR7000990002,DB하이텍,19751212
001040,KR7001040005,CJ,19730629
001060,KR7001060003,JW중외제약,19760614
001120,KR7001120005,LX인터내셔널,19760130
001200,KR7001200005,유진투자증권,19870824
001250,KR7001250000,GS글로벌,19760626
001340,KR7001340009,PKC,19760610
001380,KR7001380005,SG글로벌,19760629
001430,KR7001430008,세아베스틸지주,19910312
001440,KR7001440007,대한전선,19681227
001450,KR7001450006,현대해상,19890825
001530,KR7001530005,DI동일,19640104
001680,KR7001680008,대상,19700401
001740,KR7001740000,SK네트웍스,19770630
001750,KR7001750009,한양증권,19880304
001800,KR7001800002,오리온홀딩스,19750627
001820,KR7001820000,삼화콘덴서,19760626
002020,KR7002020006,코오롱,19750623
002310,KR7002310001,아세아제지,19881215
002380,KR7002380004,KCC,19730625
002390,KR7002390003,한독,19760630
002710,KR7002710002,TCC스틸,19841221
002790,KR7002790004,아모레퍼시픽홀딩스,19730430
002840,KR7002840007,미원상사,19890925
002900,KR7002900009,TYM,19730626
002960,KR7002960003,한국쉘석유,19880810
003000,KR7003000007,부광약품,19880805
003030,KR7003030004,세아제강지주,19690513
003070,KR7003070000,코오롱글로벌,19780915
003090,KR7003090008,대웅,19730626
003160,KR7003160009,디아이,19960731
003220,KR7003220001,대원제약,19991215
003230,KR7003230000,삼양식품,19750630
003240,KR7003240009,태광산업,19751227
003350,KR7003350006,한국화장품제조,19780206
003490,KR7003490000,대한항공,19660318
003530,KR7003530003,한화투자증권,19861125
003540,KR7003540002,대신증권,19751001
003550,KR7003550001,LG,19700213
003570,KR7003570009,SNT다이내믹스,19760708
003580,KR7003580008,HLB글로벌,19900323
003620,KR7003620002,KG모빌리티,19750529
003670,KR7003670007,포스코퓨처엠,20190529
003690,KR7003690005,코리안리,19691222
003720,KR7003720000,삼영,19760630
003850,KR7003850005,보령,19881024
003920,KR7003920006,남양유업,19780624
003960,KR7003960002,사조대림,19760916
004000,KR7004000006,롯데정밀화학,19760415
004020,KR7004020004,현대제철,19870523
004090,KR7004090007,한국석유,19770625
004170,KR7004170007,신세계,19850819
004360,KR7004360004,세방,19770519
004370,KR7004370003,농심,19760630
004380,KR7004380002,삼익THK,19890926
004430,KR7004430005,송원산업,19770625
004490,KR7004490009,세방전지,19871128
004560,KR7004560009,현대비앤지스틸,19870324
004690,KR7004690004,삼천리,19761223
004800,KR7004800009,효성,19730630
004980,KR7004980009,성신양회,19760630
004990,KR7004990008,롯데지주,19740216
005010,KR7005010004,휴스틸,19730629
005070,KR7005070008,코스모신소재,19870928
005090,KR7005090006,SGC에너지,19930106
005180,KR7005180005,빙그레,19780831
005250,KR7005250006,녹십자홀딩스,19780828
005300,KR7005300009,롯데칠성,19730621
005380,KR7005380001,현대차,19740628
005420,KR7005420005,코스모화학,19870723
005430,KR7005430004,한국공항,19761228
005440,KR7005440003,현대지에프홀딩스,19890822
005490,KR7005490008,POSCO홀딩스,19880610
005690,KR7005690003,파미셀,19880520
005830,KR7005830005,DB손해보험,19730628
005850,KR7005850003,에스엘,19881108
005930,KR7005930003,삼성전자,19750611
005940,KR7005940002,NH투자증권,19750930
005950,KR7005950001,이수화학,19880428
006040,KR7006040000,동원산업,19890307
006110,KR7006110001,삼아알미늄,19801205
006120,KR7006120000,SK디스커버리,19760629
006220,KR7006220008,제주은행,19721228
006260,KR7006260004,LS,19770630
006280,KR7006280002,녹십자,19890801
006360,KR7006360002,GS건설,19810803
006400,KR7006400006,삼성SDI,19790227
006650,KR7006650006,대한유화,19990811
006800,KR7006800007,미래에셋증권,19750930
007070,KR7007070006,GS리테일,20111223
007160,KR7007160005,사조산업,19890725
007310,KR7007310006,오뚜기,19940812
007340,KR7007340003,DN오토모티브,19880924
007660,KR7007660004,이수페타시스,20031007
007700,KR7007700008,F&F홀딩스,19841004
007810,KR7007810005,코리아써키트,19850909
008730,KR7008730004,율촌화학,19880830
008770,KR7008770000,호텔신라,19910312
008930,KR7008930000,한미사이언스,19880620
009150,KR7009150004,삼성전기,19790227
009240,KR7009240003,한샘,20020716
009290,KR7009290008,광동제약,19891117
009420,KR7009420001,한올바이오파마,19891218
009450,KR7009450008,경동나비엔,19930831
009470,KR7009470006,삼화전기,19861124
009540,KR7009540006,HD한국조선해양,19990824
009830,KR7009830001,한화솔루션,19740619
009900,KR7009900002,명신산업,20201207
009970,KR7009970005,영원무역홀딩스,19881107
010060,KR7010060002,OCI홀딩스,19850709
010120,KR7010120004,LS ELECTRIC,19940711
010130,KR7010130003,고려아연,19900728
010140,KR7010140002,삼성중공업,19940128
010620,KR7010620003,HD현대미포,19831220
010690,KR7010690006,화신,19940114
010780,KR7010780005,아이에스동서,19860127
010950,KR7010950004,S-Oil,19870527
011070,KR7011070000,LG이노텍,20080724
