종목코드,표준코드,한글주식명
000080,KR7000080002,하이트진로
000100,KR7000100008,유한양행
000120,KR7000120006,CJ대한통운
000150,KR7000150003,두산
000210,KR7000210005,DL
000240,KR7000240002,한국앤컴퍼니
000270,KR7000270009,기아
000370,KR7000370007,한화손해보험
000390,KR7000390005,삼화페인트
000490,KR7000490003,대동
000500,KR7000500009,가온전선
000520,KR7000520007,삼일제약
000640,KR7000640003,동아쏘시오홀딩스
000660,KR7000660001,SK하이닉스
000670,KR7000670000,영풍
000720,KR7000720003,현대건설
000810,KR7000810002,삼성화재
000880,KR7000880005,한화
000990,KR7000990002,DB하이텍
001040,KR7001040005,CJ
001060,KR7001060003,JW중외제약
001120,KR7001120005,LX인터내셔널
001200,KR7001200005,유진투자증권
001250,KR7001250000,GS글로벌
001340,KR7001340009,PKC
001380,KR7001380005,SG글로벌
001430,KR7001430008,세아베스틸지주
001440,KR7001440007,대한전선
001450,KR7001450006,현대해상
001530,KR7001530005,DI동일
001680,KR7001680008,대상
001740,KR7001740000,SK네트웍스
001750,KR7001750009,한양증권
001800,KR7001800002,오리온홀딩스
001820,KR7001820000,삼화콘덴서
002020,KR7002020006,코오롱
002310,KR7002310001,아세아제지
002380,KR7002380004,KCC
002390,KR7002390003,한독
002710,KR7002710002,TCC스틸
002790,KR7002790004,아모레퍼시픽홀딩스
002840,KR7002840007,미원상사
002900,KR7002900009,TYM
002960,KR7002960003,한국쉘석유
003000,KR7003000007,부광약품
003030,KR7003030004,세아제강지주
003070,KR7003070000,코오롱글로벌
003090,KR7003090008,대웅
003160,KR7003160009,디아이
003220,KR7003220001,대원제약
003230,KR7003230000,삼양식품
003240,KR7003240009,태광산업
003350,KR7003350006,한국화장품제조
003490,KR7003490000,대한항공
003530,KR7003530003,한화투자증권
003540,KR7003540002,대신증권
003550,KR7003550001,LG
003570,KR7003570009,SNT다이내믹스
003580,KR7003580008,HLB글로벌
003620,KR7003620002,KG모빌리티
003670,KR7003670007,포스코퓨처엠
003690,KR7003690005,코리안리
003720,KR7003720000,삼영
003850,KR7003850005,보령
003920,KR7003920006,남양유업
003960,KR7003960002,사조대림
004000,KR7004000006,롯데정밀화학
004020,KR7004020004,현대제철
004090,KR7004090007,한국석유
004170,KR7004170007,신세계
004360,KR7004360004,세방
