회사명,종목코드,상장일
인투셀,287840,2025-05-23
달바글로벌,483650,2025-05-22
바이오비쥬,489460,2025-05-20
이뮨온시아,424870,2025-05-19
바이오포트,188040,2025-05-16
티씨머티리얼즈,125020,2025-05-15
로킷헬스케어,376900,2025-05-12
오가노이드사이언스,476040,2025-05-09
원일티엔아이,136150,2025-05-09
나우로보틱스,459510,2025-05-08
에이아이코리아,364950,2025-04-29
쎄크,081180,2025-04-28
한국피아이엠,448900,2025-04-04
에이유브랜즈,481070,2025-04-03
우양에이치씨,101970,2025-03-28
더즌,462860,2025-03-24
심플랫폼,444530,2025-03-21
티엑스알로보틱스,484810,2025-03-20
한텍,098070,2025-03-20
한화플러스제5호스팩,498390,2025-03-20
씨케이솔루션,480370,2025-03-17
서울보증보험,031210,2025-03-14
에스엠씨지,460870,2025-03-07
엠디바이스,226590,2025-03-07
대진첨단소재,393970,2025-03-06
에르코스,435570,2025-02-28
엘케이켐,489500,2025-02-25
위너스,479960,2025-02-24
모티브링크,463480,2025-02-20
동국생명과학,303810,2025-02-17
오름테라퓨틱,475830,2025-02-14
동방메디컬,240550,2025-02-13
아이에스티이,212710,2025-02-12
LG씨엔에스,064400,2025-02-05
아이지넷,462980,2025-02-04
피아이이,452450,2025-02-04
삼양엔씨켐,482630,2025-02-03
데이원컴퍼니,373160,2025-01-24
아스테라시스,450950,2025-01-24
와이즈넛,096250,2025-01-24
미트박스,475460,2025-01-23
유안타제17호스팩,493790,2025-01-23
블랙야크아이앤씨,478560,2025-01-21
오션스바이오,332190,2025-01-14
엠에프씨,432980,2024-12-26
파인메딕스,387570,2024-12-26
쓰리에이로직스,177900,2024-12-24
GS피앤엘,499790,2024-12-23
신한제14호스팩,487360,2024-12-23
유비씨,495810,2024-12-23
창대정밀,368030,2024-12-23
듀켐바이오,176750,2024-12-20
키움제10호스팩,487720,2024-12-20
에스지헬스케어,398120,2024-12-19
온코닉테라퓨틱스,476060,2024-12-19
온코크로스,382150,2024-12-18
벡트,457600,2024-12-16
엠앤씨솔루션,484870,2024-12-16
셀로맥스사이언스,471820,2024-12-13
에이엠시지,495900,2024-12-13
KB제31호스팩,492220,2024-12-12
키움제11호스팩,489480,2024-12-11
KB발해인프라,415640,2024-11-29
디비금융제13호스팩,489730,2024-11-28
교보17호스팩,489210,2024-11-21
대신밸런스제19호스팩,482690,2024-11-20
위츠,459100,2024-11-20
유디엠텍,389680,2024-11-20
RF시스템즈,474610,2024-11-19
사이냅소프트,466410,2024-11-19
하나34호스팩,484130,2024-11-19
에스켐,475660,2024-11-18
엠오티,413390,2024-11-18
신한제15호스팩,487830,2024-11-15
쓰리빌리언,394800,2024-11-14
닷밀,464580,2024-11-13
노머스,473980,2024-11-12
에어레인,163280,2024-11-08
토모큐브,475960,2024-11-07
더본코리아,475560,2024-11-06
에이치이엠파마,376270,2024-11-05
에이럭스,475580,2024-11-01
탑런토탈솔루션,336680,2024-11-01
성우,458650,2024-10-31
유진스팩11호,488060,2024-10-31
타조엔터테인먼트,476710,2024-10-30
클로봇,466100,2024-10-28
에이치엔에스하이텍,044990,2024-10-25
웨이비스,289930,2024-10-25
씨메스,475400,2024-10-24
한켐,457370,2024-10-22
루미르,474170,2024-10-21
와이제이링크,209640,2024-10-18
인스피언,465480,2024-10-18
셀비온,308430,2024-10-16
